	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TPRG1L	743.157	-0.468	0.074	-6.363	0.0	0.0
TPRKB	776.13	0.056	0.078	0.723	0.47	0.608
TPRN	392.264	-0.218	0.093	-2.342	0.019	0.048
TPRX1	0.652	0.103	0.075	1.371	0.17	
TPRXL	4.188	-0.193	0.164	-1.178	0.239	0.369
TPSAB1	0.0					
TPSB2	0.0					
TPSD1	0.215	-0.001	0.048	-0.011	0.991	
TPSG1	0.0					
TPST1	383.758	0.355	0.095	3.739	0.0	0.001
TPST2	286.892	0.062	0.105	0.591	0.554	0.683
TPT1	7851.846	0.099	0.064	1.558	0.119	0.216
TPT1-AS1	39.28	0.153	0.192	0.797	0.426	0.567
TPTE	0.345	0.019	0.059	0.321	0.748	
TPTE2	1.913	0.093	0.121	0.772	0.44	
TPTE2P1	35.723	-0.21	0.197	-1.068	0.286	0.421
TPTE2P3	5.354	-0.254	0.174	-1.462	0.144	0.25
TPTE2P6	11.796	-0.017	0.204	-0.085	0.933	0.959
TPTEP1	80.355	0.13	0.161	0.806	0.42	0.562
TPX2	5714.283	-0.094	0.044	-2.115	0.034	0.079
TRA2A	2863.628	-0.095	0.059	-1.596	0.11	0.203
TRA2B	8592.73	0.009	0.048	0.185	0.853	0.906
TRABD	1921.199	-0.074	0.073	-1.009	0.313	0.451
TRADD	113.331	0.212	0.144	1.474	0.14	0.246
TRAF1	108.4	0.185	0.152	1.216	0.224	0.351
TRAF2	688.664	-0.279	0.075	-3.697	0.0	0.001
TRAF3	1450.416	-0.422	0.058	-7.262	0.0	0.0
TRAF3IP1	821.862	-0.409	0.072	-5.673	0.0	0.0
TRAF3IP2	324.893	0.109	0.097	1.124	0.261	0.393
TRAF3IP2-AS1	534.241	-0.045	0.082	-0.554	0.579	0.704
TRAF3IP3	0.112	0.009	0.042	0.226	0.821	
TRAF4	2046.048	-0.302	0.062	-4.898	0.0	0.0
TRAF5	459.837	0.475	0.086	5.496	0.0	0.0
TRAF6	814.313	0.369	0.073	5.053	0.0	0.0
TRAF7	1619.176	0.072	0.064	1.128	0.259	0.392
TRAFD1	1660.756	-0.086	0.063	-1.354	0.176	0.293
TRAIP	612.677	-0.266	0.077	-3.435	0.001	0.002
TRAK1	2434.857	-0.1	0.05	-1.996	0.046	0.1
TRAK2	1112.287	-0.184	0.07	-2.628	0.009	0.025
TRAM1	2827.03	-0.088	0.058	-1.501	0.133	0.236
TRAM1L1	241.381	0.387	0.115	3.38	0.001	0.003
TRAM2	1201.815	-0.068	0.062	-1.105	0.269	0.403
TRANK1	123.727	0.413	0.144	2.865	0.004	0.013
TRAP1	4244.342	-0.231	0.054	-4.264	0.0	0.0
TRAPPC1	1693.194	-0.303	0.07	-4.325	0.0	0.0
TRAPPC10	1553.502	-0.332	0.058	-5.692	0.0	0.0
TRAPPC11	1722.25	-0.074	0.06	-1.233	0.218	0.343
TRAPPC12	686.939	-0.19	0.08	-2.369	0.018	0.045
TRAPPC2	1006.124	-0.089	0.069	-1.291	0.197	0.318
TRAPPC2L	452.717	-0.478	0.098	-4.86	0.0	0.0
TRAPPC2P1	439.145	0.276	0.09	3.063	0.002	0.008
TRAPPC3	1983.247	-0.182	0.054	-3.389	0.001	0.003
TRAPPC4	719.134	-0.116	0.075	-1.553	0.12	0.218
TRAPPC5	583.81	-0.333	0.087	-3.831	0.0	0.001
TRAPPC6A	215.025	0.628	0.128	4.914	0.0	0.0
TRAPPC6B	1343.775	-0.037	0.068	-0.545	0.586	0.709
TRAPPC8	3750.008	0.015	0.053	0.293	0.769	0.85
TRAPPC9	510.377	-0.032	0.088	-0.363	0.717	0.81
TRAT1	0.802	-0.061	0.078	-0.78	0.435	
TRDMT1	432.285	-0.163	0.087	-1.872	0.061	0.126
TRDN	3.016	-0.048	0.149	-0.321	0.748	0.835
TREH	0.264	-0.015	0.051	-0.3	0.765	
TREM1	0.394	-0.002	0.061	-0.025	0.98	
TREM2	0.0					
TREML1	0.0					
TREML2	0.969	-0.062	0.093	-0.667	0.505	
TREML2P1	0.0					
TREML3	1.07	0.079	0.099	0.799	0.424	
TREML4	0.0					
TRERF1	397.451	-0.069	0.096	-0.715	0.474	0.612
TREX1	41.784	0.145	0.193	0.75	0.453	0.593
TREX2	7.68	0.037	0.19	0.197	0.844	0.899
TRH	0.0					
TRHDE	36.449	0.387	0.194	1.997	0.046	0.1
TRHR	0.0					
TRIAP1	1381.443	-0.235	0.059	-3.962	0.0	0.0
TRIB1	963.019	0.106	0.068	1.573	0.116	0.211
TRIB2	1503.409	0.188	0.061	3.08	0.002	0.007
TRIB3	904.752	0.539	0.077	6.987	0.0	0.0
TRIL	17.587	0.338	0.208	1.626	0.104	0.194
TRIM10	5.677	-0.09	0.176	-0.508	0.612	0.73
TRIM11	1254.629	0.13	0.064	2.03	0.042	0.093
TRIM13	389.87	0.413	0.092	4.479	0.0	0.0
TRIM14	1050.996	-0.252	0.064	-3.956	0.0	0.0
TRIM15	2.638	-0.216	0.139	-1.556	0.12	0.217
TRIM16	338.081	-0.249	0.1	-2.501	0.012	0.033
TRIM16L	214.103	-0.292	0.115	-2.527	0.011	0.031
TRIM17	0.451	-0.067	0.064	-1.053	0.292	
TRIM2	1425.477	-0.026	0.07	-0.369	0.712	0.806
TRIM21	243.347	0.14	0.109	1.28	0.201	0.323
TRIM22	15.334	0.289	0.207	1.398	0.162	0.275
TRIM23	815.494	0.12	0.078	1.536	0.125	0.224
TRIM24	2397.477	-0.041	0.054	-0.761	0.447	0.587
TRIM25	1295.378	-0.32	0.061	-5.22	0.0	0.0
TRIM26	1675.158	-0.098	0.066	-1.485	0.138	0.242
TRIM27	2407.697	0.058	0.055	1.065	0.287	0.423
TRIM28	13692.067	-0.175	0.055	-3.171	0.002	0.005
TRIM29	6.686	-0.614	0.182	-3.368	0.001	0.003
TRIM3	353.124	-0.293	0.095	-3.073	0.002	0.007
TRIM31	2.631	-0.006	0.142	-0.044	0.965	0.979
TRIM32	1033.247	0.036	0.063	0.577	0.564	0.69
TRIM33	3143.338	-0.154	0.05	-3.082	0.002	0.007
TRIM34	1.839	0.02	0.114	0.171	0.864	
TRIM35	500.172	0.02	0.082	0.243	0.808	0.876
TRIM36	374.34	0.445	0.097	4.578	0.0	0.0
TRIM37	2436.992	0.031	0.057	0.545	0.586	0.709
TRIM38	434.882	0.06	0.087	0.69	0.49	0.626
TRIM39	560.123	0.108	0.079	1.366	0.172	0.288
TRIM39-RPP21	1.909	-0.029	0.121	-0.236	0.814	
TRIM4	997.025	-0.074	0.068	-1.091	0.275	0.41
TRIM40	1.233	0.037	0.101	0.363	0.716	
TRIM41	1928.152	-0.06	0.058	-1.023	0.306	0.444
TRIM42	0.0					
TRIM43	3.281	-0.251	0.151	-1.662	0.096	0.182
TRIM43B	1.112	-0.03	0.097	-0.309	0.757	
TRIM44	2473.177	-0.14	0.056	-2.505	0.012	0.033
TRIM45	461.208	0.422	0.086	4.934	0.0	0.0
TRIM46	72.646	-0.078	0.171	-0.458	0.647	0.759
TRIM47	105.98	0.472	0.15	3.153	0.002	0.006
TRIM48	0.08	0.0	0.042	0.0	1.0	
TRIM49	0.104	0.009	0.042	0.226	0.821	
TRIM49L1	0.0					
TRIM49L2	0.08	0.0	0.042	0.0	1.0	
TRIM5	496.733	0.617	0.083	7.417	0.0	0.0
TRIM50	1.211	-0.024	0.101	-0.236	0.814	
TRIM52	923.085	0.354	0.072	4.941	0.0	0.0
TRIM53P	0.414	-0.021	0.062	-0.33	0.742	
TRIM54	4.318	0.043	0.161	0.267	0.789	0.863
TRIM55	12.365	-0.073	0.204	-0.36	0.719	0.812
TRIM56	328.42	0.219	0.096	2.271	0.023	0.056
TRIM58	179.26	-0.004	0.127	-0.029	0.977	0.986
TRIM59	1166.286	0.241	0.079	3.067	0.002	0.007
TRIM6	330.68	0.274	0.1	2.729	0.006	0.019
TRIM6-TRIM34	0.13	-0.01	0.042	-0.246	0.806	
TRIM60	0.0					
TRIM61	0.0					
TRIM62	327.472	-0.152	0.103	-1.476	0.14	0.245
TRIM63	0.379	0.017	0.057	0.307	0.759	
TRIM64	0.0					
TRIM64B	0.111	-0.01	0.042	-0.246	0.806	
TRIM64C	0.0					
TRIM65	1910.19	-0.15	0.063	-2.37	0.018	0.045
TRIM66	191.048	0.332	0.127	2.608	0.009	0.026
TRIM67	8.337	0.134	0.194	0.692	0.489	0.626
TRIM68	574.611	-0.158	0.081	-1.954	0.051	0.109
TRIM69	4.573	0.331	0.167	1.981	0.048	0.103
TRIM7	75.646	0.973	0.176	5.519	0.0	0.0
TRIM71	225.257	-0.109	0.118	-0.925	0.355	0.495
TRIM72	5.824	0.118	0.18	0.659	0.51	0.644
TRIM73	0.0					
TRIM74	0.0					
TRIM77P	0.0					
TRIM78P	0.414	0.021	0.062	0.331	0.741	
TRIM8	899.695	-0.265	0.068	-3.926	0.0	0.0
TRIM9	648.998	-0.065	0.078	-0.837	0.402	0.544
TRIML1	0.0					
TRIML2	18.975	-0.03	0.208	-0.144	0.885	0.929
TRIO	4128.31	-0.061	0.05	-1.224	0.221	0.347
TRIOBP	771.678	0.012	0.073	0.169	0.866	0.915
TRIP10	822.262	0.156	0.087	1.795	0.073	0.145
TRIP11	1210.986	0.183	0.08	2.286	0.022	0.055
TRIP12	5700.544	-0.116	0.054	-2.163	0.031	0.071
TRIP13	3530.575	-0.235	0.052	-4.517	0.0	0.0
TRIP4	495.642	-0.042	0.087	-0.478	0.633	0.747
TRIP6	1075.304	-0.067	0.076	-0.876	0.381	0.522
TRIT1	1411.683	0.176	0.059	2.983	0.003	0.01
TRMT1	1000.897	-0.497	0.074	-6.671	0.0	0.0
TRMT11	764.687	0.611	0.078	7.814	0.0	0.0
TRMT112	1257.962	-0.304	0.072	-4.25	0.0	0.0
TRMT12	564.991	0.118	0.082	1.442	0.149	0.258
TRMT1L	1301.618	-0.064	0.068	-0.939	0.348	0.489
TRMT2A	1363.425	-0.133	0.075	-1.764	0.078	0.154
TRMT2B	1076.592	-0.321	0.066	-4.859	0.0	0.0
TRMT5	1297.877	0.018	0.061	0.29	0.772	0.851
TRMT6	1160.99	-0.125	0.075	-1.662	0.096	0.182
TRMT61A	546.16	-0.746	0.089	-8.368	0.0	0.0
TRMT61B	450.26	0.092	0.086	1.074	0.283	0.418
TRMU	1056.252	-0.414	0.067	-6.194	0.0	0.0
TRNAU1AP	460.687	0.278	0.087	3.193	0.001	0.005
TRNP1	318.941	-0.131	0.099	-1.318	0.187	0.307
TRNT1	754.197	0.007	0.072	0.102	0.919	0.951
TRO	1632.736	0.225	0.055	4.062	0.0	0.0
TROAP	1812.849	-0.421	0.062	-6.847	0.0	0.0
TROVE2	859.618	0.077	0.094	0.817	0.414	0.556
TRPA1	42.806	-0.02	0.191	-0.106	0.916	0.949
TRPC1	690.996	0.026	0.084	0.309	0.757	0.841
TRPC2	1.036	-0.11	0.096	-1.141	0.254	
TRPC3	126.992	0.04	0.139	0.289	0.773	0.852
TRPC4	11.368	0.174	0.204	0.854	0.393	0.535
TRPC4AP	2464.272	0.087	0.053	1.628	0.104	0.193
TRPC5	0.0					
TRPC6	7.288	0.29	0.189	1.537	0.124	0.223
TRPC7	0.321	-0.001	0.055	-0.013	0.989	
TRPM1	0.271	0.014	0.051	0.278	0.781	
TRPM2	0.724	0.108	0.081	1.332	0.183	
TRPM3	6.695	0.047	0.181	0.257	0.798	0.868
TRPM4	380.44	0.334	0.095	3.517	0.0	0.002
TRPM5	1.38	0.059	0.106	0.561	0.575	
TRPM6	28.256	-0.016	0.203	-0.081	0.936	0.961
TRPM7	2091.334	-0.342	0.06	-5.718	0.0	0.0
TRPM8	1.723	-0.078	0.114	-0.686	0.493	
TRPS1	1209.485	0.382	0.066	5.819	0.0	0.0
TRPT1	394.242	-0.317	0.097	-3.265	0.001	0.004
TRPV1	260.848	-0.703	0.112	-6.251	0.0	0.0
TRPV2	31.727	0.448	0.202	2.222	0.026	0.063
TRPV3	14.678	0.008	0.204	0.04	0.968	0.981
TRPV4	91.486	0.506	0.159	3.178	0.001	0.005
TRPV5	0.79	0.098	0.082	1.196	0.232	
TRPV6	16.985	-0.258	0.208	-1.241	0.214	0.34
TRRAP	4908.029	-0.175	0.064	-2.739	0.006	0.018
TRUB1	2164.069	-0.138	0.054	-2.557	0.011	0.029
TRUB2	977.262	-0.501	0.074	-6.765	0.0	0.0
TRY6	0.0					
TSC1	1536.896	-0.073	0.062	-1.167	0.243	0.374
TSC2	2205.835	-0.319	0.06	-5.303	0.0	0.0
TSC22D1	1532.47	0.147	0.056	2.631	0.009	0.024
TSC22D1-AS1	17.227	0.591	0.208	2.842	0.004	0.014
TSC22D2	1543.02	-0.191	0.059	-3.228	0.001	0.005
TSC22D3	9676.276	0.53	0.049	10.851	0.0	0.0
TSC22D4	715.916	-0.118	0.073	-1.605	0.108	0.2
TSEN15	865.379	-0.066	0.079	-0.829	0.407	0.548
TSEN2	492.324	-0.126	0.086	-1.461	0.144	0.251
TSEN34	1257.37	-0.149	0.063	-2.345	0.019	0.048
TSEN54	933.272	-0.289	0.072	-4.021	0.0	0.0
TSFM	933.248	-0.31	0.068	-4.528	0.0	0.0
TSG1	3.257	0.044	0.149	0.291	0.771	0.851
TSG101	1537.962	0.061	0.059	1.026	0.305	0.442
TSGA10	230.693	-0.389	0.113	-3.435	0.001	0.002
TSGA10IP	0.408	-0.067	0.062	-1.074	0.283	
TSGA13	0.0					
TSHB	0.0					
TSHR	0.338	0.016	0.055	0.299	0.765	
TSHZ1	786.372	-0.053	0.071	-0.74	0.459	0.599
TSHZ2	315.815	0.475	0.1	4.731	0.0	0.0
TSHZ3	536.14	-0.034	0.08	-0.419	0.675	0.78
TSIX	48.234	0.307	0.187	1.637	0.102	0.19
TSKS	1.731	0.133	0.118	1.132	0.257	
TSKU	458.8	-0.211	0.094	-2.238	0.025	0.061
TSLP	206.71	0.834	0.118	7.057	0.0	0.0
TSN	2825.684	-0.052	0.05	-1.041	0.298	0.435
TSNARE1	133.633	-0.268	0.139	-1.924	0.054	0.115
TSNAX	2735.235	-0.171	0.067	-2.562	0.01	0.029
TSNAX-DISC1	3.137	0.194	0.15	1.287	0.198	0.32
TSNAXIP1	50.115	-0.495	0.184	-2.684	0.007	0.021
TSPAN1	4.031	0.031	0.156	0.198	0.843	0.899
TSPAN10	52.133	-0.707	0.185	-3.814	0.0	0.001
TSPAN11	42.809	0.498	0.191	2.603	0.009	0.026
TSPAN12	685.739	0.05	0.08	0.622	0.534	0.665
TSPAN13	1597.613	-0.329	0.057	-5.746	0.0	0.0
TSPAN14	852.584	-0.132	0.07	-1.878	0.06	0.125
TSPAN15	414.046	-0.026	0.09	-0.292	0.771	0.851
TSPAN16	0.112	0.009	0.042	0.226	0.821	
TSPAN17	1090.658	-0.416	0.064	-6.449	0.0	0.0
TSPAN18	435.291	0.763	0.093	8.183	0.0	0.0
TSPAN19	21.986	-0.358	0.207	-1.734	0.083	0.161
TSPAN2	198.214	0.986	0.137	7.198	0.0	0.0
TSPAN3	7211.418	-0.373	0.043	-8.702	0.0	0.0
TSPAN31	970.466	0.078	0.067	1.159	0.247	0.377
TSPAN32	0.0					
TSPAN33	612.164	-0.178	0.081	-2.189	0.029	0.068
TSPAN4	264.142	0.039	0.111	0.355	0.722	0.814
TSPAN5	831.87	-0.187	0.075	-2.477	0.013	0.035
TSPAN6	3089.875	-0.399	0.052	-7.727	0.0	0.0
TSPAN7	653.593	0.565	0.076	7.461	0.0	0.0
TSPAN8	2.665	-0.052	0.143	-0.367	0.714	0.807
TSPAN9	820.724	-0.229	0.073	-3.131	0.002	0.006
TSPEAR	0.54	0.024	0.074	0.331	0.741	
TSPO	294.626	0.38	0.119	3.183	0.001	0.005
TSPO2	0.134	0.0	0.042	0.0	1.0	
TSPY1	0.0					
TSPY2	0.0					
TSPY26P	6.019	-0.136	0.181	-0.748	0.454	0.595
TSPY3	0.0					
TSPY4	0.0					
TSPY8	0.0					
TSPYL1	5051.226	-0.017	0.049	-0.356	0.722	0.814
TSPYL2	2542.662	0.649	0.053	12.283	0.0	0.0
TSPYL4	2133.141	0.143	0.056	2.53	0.011	0.031
TSPYL5	0.0					
TSPYL6	0.191	0.01	0.042	0.226	0.821	
TSR1	3569.478	-0.164	0.048	-3.438	0.001	0.002
TSR2	1871.395	-0.304	0.061	-5.026	0.0	0.0
TSSC1	732.283	-0.226	0.083	-2.713	0.007	0.02
TSSC4	553.719	-0.323	0.086	-3.764	0.0	0.001
TSSK1B	0.689	0.049	0.077	0.642	0.521	
TSSK2	0.422	0.04	0.062	0.644	0.519	
TSSK3	3.001	-0.088	0.145	-0.607	0.544	0.674
TSSK4	1.393	0.159	0.107	1.491	0.136	
TSSK6	66.665	0.01	0.169	0.056	0.955	0.972
TST	296.35	0.198	0.107	1.856	0.063	0.13
TSTA3	736.8	0.139	0.082	1.702	0.089	0.171
TSTD1	0.167	-0.01	0.042	-0.246	0.806	
TSTD2	1348.734	-0.203	0.061	-3.334	0.001	0.003
TTBK1	21.559	-0.214	0.208	-1.031	0.303	0.44
TTBK2	542.771	0.408	0.084	4.838	0.0	0.0
TTC1	1932.238	-0.097	0.056	-1.752	0.08	0.157
TTC12	321.489	-0.25	0.098	-2.541	0.011	0.03
TTC13	824.111	0.165	0.073	2.254	0.024	0.059
TTC14	1684.596	0.369	0.069	5.334	0.0	0.0
TTC16	2.518	0.014	0.138	0.105	0.916	0.949
TTC17	1620.84	0.154	0.062	2.467	0.014	0.036
TTC18	159.426	-0.655	0.131	-5.002	0.0	0.0
TTC19	1938.841	0.312	0.054	5.834	0.0	0.0
TTC21A	94.428	0.645	0.155	4.158	0.0	0.0
TTC21B	1101.528	0.105	0.069	1.534	0.125	0.224
TTC22	0.0					
TTC23	846.841	0.168	0.074	2.284	0.022	0.055
TTC23L	15.757	0.26	0.208	1.25	0.211	0.336
TTC24	2.962	-0.057	0.146	-0.388	0.698	0.797
TTC25	71.972	0.251	0.17	1.478	0.139	0.244
TTC26	652.326	-0.14	0.078	-1.786	0.074	0.148
TTC27	767.924	-0.315	0.079	-3.994	0.0	0.0
TTC28	1338.473	0.11	0.067	1.643	0.1	0.188
TTC28-AS1	433.74	0.017	0.089	0.194	0.846	0.901
TTC29	1.893	0.168	0.123	1.365	0.172	
TTC3	2907.147	-0.137	0.056	-2.456	0.014	0.037
TTC30A	359.764	0.028	0.098	0.281	0.779	0.856
TTC30B	189.499	0.019	0.121	0.157	0.876	0.923
TTC31	678.762	0.037	0.08	0.457	0.648	0.759
TTC32	246.645	0.445	0.112	3.984	0.0	0.0
TTC33	1582.547	0.096	0.068	1.404	0.16	0.272
TTC34	7.392	0.132	0.191	0.692	0.489	0.626
TTC35	605.489	0.104	0.079	1.315	0.188	0.308
TTC36	2.783	0.293	0.145	2.021	0.043	0.095
TTC37	5912.836	-0.025	0.048	-0.521	0.603	0.722
TTC38	914.892	-0.296	0.069	-4.287	0.0	0.0
TTC39A	663.369	0.079	0.075	1.062	0.288	0.425
TTC39B	136.524	0.562	0.146	3.855	0.0	0.001
TTC39C	564.812	-0.017	0.084	-0.199	0.842	0.899
TTC3P1	725.516	-0.113	0.079	-1.433	0.152	0.261
TTC4	15.897	-0.269	0.207	-1.299	0.194	0.315
TTC40	19.082	-0.444	0.208	-2.136	0.033	0.076
TTC5	576.535	-0.319	0.082	-3.913	0.0	0.0
TTC7A	433.926	-0.198	0.088	-2.264	0.024	0.057
TTC7B	935.56	-0.092	0.067	-1.381	0.167	0.282
TTC8	544.835	-0.241	0.088	-2.738	0.006	0.018
TTC9	343.089	0.166	0.096	1.737	0.082	0.161
TTC9B	0.357	-0.001	0.059	-0.014	0.989	
TTC9C	528.61	0.1	0.087	1.157	0.247	0.378
TTF1	1055.496	0.079	0.066	1.201	0.23	0.358
TTF2	2114.768	-0.143	0.054	-2.67	0.008	0.022
TTI1	1748.438	-0.09	0.054	-1.664	0.096	0.182
TTI2	374.944	0.007	0.099	0.066	0.947	0.968
TTK	3297.084	-0.132	0.063	-2.101	0.036	0.081
TTL	2901.979	-0.223	0.052	-4.296	0.0	0.0
TTLL1	123.617	0.354	0.139	2.543	0.011	0.03
TTLL10	0.0					
TTLL11	222.024	0.062	0.113	0.552	0.581	0.705
TTLL12	2729.164	-0.497	0.064	-7.73	0.0	0.0
TTLL13	15.914	-0.129	0.208	-0.623	0.534	0.665
TTLL2	0.0					
TTLL3	226.793	-0.147	0.113	-1.301	0.193	0.314
TTLL4	1603.452	-0.025	0.063	-0.403	0.687	0.789
TTLL5	987.418	-0.287	0.068	-4.25	0.0	0.0
TTLL6	35.584	-0.205	0.197	-1.041	0.298	0.435
TTLL7	656.712	0.168	0.081	2.07	0.038	0.086
TTLL9	2.884	0.202	0.143	1.414	0.157	0.268
TTN	7.073	-0.066	0.188	-0.354	0.723	0.815
TTPA	10.734	0.522	0.199	2.619	0.009	0.025
TTPAL	1053.192	0.353	0.069	5.103	0.0	0.0
TTR	0.0					
TTTY1	0.0					
TTTY10	0.0					
TTTY11	0.0					
TTTY12	0.0					
TTTY13	0.0					
TTTY14	0.0					
TTTY15	0.0					
TTTY16	0.0					
TTTY17A	0.0					
TTTY17B	0.0					
TTTY17C	0.0					
TTTY18	0.0					
TTTY19	0.0					
TTTY1B	0.0					
TTTY2	0.0					
TTTY20	0.0					
TTTY21	0.0					
TTTY21B	0.0					
TTTY22	0.0					
TTTY23	0.0					
TTTY23B	0.0					
TTTY2B	0.0					
TTTY3	0.0					
TTTY3B	0.0					
TTTY4	0.0					
TTTY4B	0.0					
TTTY4C	0.0					
TTTY5	0.0					
TTTY6	0.0					
TTTY6B	0.0					
TTTY7	0.0					
TTTY7B	0.0					
TTTY8	0.0					
TTTY8B	0.0					
TTTY9A	0.0					
TTTY9B	0.0					
TTYH1	8.59	0.583	0.191	3.058	0.002	0.008
TTYH2	378.41	-0.123	0.097	-1.262	0.207	0.331
TTYH3	2295.794	-0.178	0.069	-2.588	0.01	0.027
TUB	2167.575	0.185	0.059	3.145	0.002	0.006
TUBA1A	3154.071	-0.244	0.051	-4.793	0.0	0.0
TUBA1B	16414.817	-0.143	0.047	-3.056	0.002	0.008
TUBA1C	5285.143	-0.288	0.063	-4.6	0.0	0.0
TUBA3C	0.0					
TUBA3D	0.624	-0.033	0.077	-0.433	0.665	
TUBA3E	0.379	0.017	0.057	0.307	0.759	
TUBA4A	62.714	0.453	0.174	2.595	0.009	0.027
TUBA4B	0.234	-0.001	0.049	-0.012	0.991	
TUBA8	34.385	-0.255	0.203	-1.254	0.21	0.334
TUBAL3	2.344	0.187	0.132	1.409	0.159	
TUBB	48657.489	-0.267	0.048	-5.535	0.0	0.0
TUBB1	1.292	-0.1	0.104	-0.961	0.337	
TUBB2A	579.532	-0.03	0.089	-0.339	0.735	0.824
TUBB2B	2194.259	0.256	0.057	4.505	0.0	0.0
TUBB3	406.211	0.34	0.12	2.832	0.005	0.014
TUBB4A	773.948	0.187	0.086	2.169	0.03	0.07
TUBB4B	8661.365	-0.253	0.064	-3.937	0.0	0.0
TUBB6	1496.182	0.067	0.064	1.054	0.292	0.428
TUBB8	0.418	0.018	0.062	0.291	0.771	
TUBBP5	170.194	0.183	0.127	1.434	0.152	0.261
TUBD1	771.23	0.118	0.075	1.584	0.113	0.207
TUBE1	838.707	0.245	0.079	3.119	0.002	0.006
TUBG1	1752.462	-0.149	0.07	-2.115	0.034	0.079
TUBG2	499.547	0.154	0.084	1.838	0.066	0.134
TUBGCP2	2123.375	-0.134	0.062	-2.185	0.029	0.068
TUBGCP3	1152.713	-0.079	0.063	-1.251	0.211	0.336
TUBGCP4	1091.638	-0.042	0.064	-0.663	0.507	0.642
TUBGCP5	802.314	0.174	0.074	2.344	0.019	0.048
TUBGCP6	1543.547	0.088	0.064	1.379	0.168	0.282
TUFM	3550.825	-0.058	0.05	-1.177	0.239	0.369
TUFT1	1069.92	-0.146	0.076	-1.934	0.053	0.113
TUG1	8624.039	0.151	0.045	3.375	0.001	0.003
TULP1	0.431	-0.002	0.063	-0.025	0.98	
TULP2	3.551	0.045	0.151	0.297	0.767	0.848
TULP3	1395.266	-0.157	0.059	-2.65	0.008	0.023
TULP4	783.497	-0.034	0.076	-0.445	0.657	0.766
TUSC1	398.112	0.183	0.099	1.853	0.064	0.131
TUSC2	1049.716	-0.485	0.068	-7.187	0.0	0.0
TUSC3	1744.982	0.187	0.061	3.039	0.002	0.008
TUSC5	0.546	0.051	0.064	0.788	0.431	
TUT1	903.32	0.1	0.069	1.458	0.145	0.252
TWF1	1772.606	-0.326	0.076	-4.298	0.0	0.0
TWF2	557.667	-0.335	0.084	-3.985	0.0	0.0
TWIST1	395.629	0.388	0.094	4.113	0.0	0.0
TWIST2	62.786	0.224	0.174	1.288	0.198	0.319
TWISTNB	1998.535	0.1	0.057	1.755	0.079	0.156
TWSG1	1150.573	-0.069	0.073	-0.948	0.343	0.484
TXK	20.342	-0.461	0.208	-2.218	0.027	0.064
TXLNA	4631.477	-0.042	0.055	-0.772	0.44	0.581
TXLNB	108.675	-0.216	0.147	-1.467	0.142	0.248
TXLNG	4257.207	-0.238	0.049	-4.901	0.0	0.0
TXLNG2P	0.191	0.011	0.046	0.245	0.806	
TXN	1760.716	0.023	0.056	0.422	0.673	0.778
TXN2	1559.914	-0.429	0.058	-7.343	0.0	0.0
TXNDC11	678.994	0.115	0.075	1.534	0.125	0.224
TXNDC12	1786.707	0.175	0.057	3.09	0.002	0.007
TXNDC15	1165.055	-0.247	0.062	-3.965	0.0	0.0
TXNDC16	1052.071	0.202	0.072	2.798	0.005	0.016
TXNDC17	486.749	-0.021	0.094	-0.224	0.823	0.885
TXNDC2	14.475	-0.351	0.206	-1.703	0.089	0.17
TXNDC3	0.16	0.0	0.042	0.0	1.0	
TXNDC5	156.097	-0.063	0.133	-0.476	0.634	0.749
TXNDC8	0.0					
TXNDC9	713.891	0.288	0.087	3.325	0.001	0.003
TXNIP	5133.749	1.387	0.068	20.534	0.0	0.0
TXNL1	1279.222	-0.017	0.06	-0.291	0.771	0.851
TXNL4A	1689.939	-0.084	0.059	-1.427	0.154	0.263
TXNL4B	441.952	-0.228	0.089	-2.571	0.01	0.028
TXNRD1	4573.635	-0.213	0.05	-4.253	0.0	0.0
TXNRD2	702.398	-0.181	0.086	-2.109	0.035	0.08
TXNRD3	426.438	0.139	0.09	1.532	0.126	0.225
TXNRD3NB	1.47	-0.139	0.112	-1.243	0.214	
TYK2	1644.968	0.062	0.06	1.025	0.305	0.443
TYMP	7.144	0.032	0.19	0.166	0.868	0.917
TYMS	3809.144	-0.178	0.047	-3.813	0.0	0.001
TYR	0.0					
TYRO3	491.395	0.204	0.087	2.331	0.02	0.049
TYRO3P	54.495	-0.069	0.182	-0.378	0.705	0.801
TYROBP	0.0					
TYRP1	1.211	-0.119	0.102	-1.161	0.246	
TYSND1	548.317	-0.062	0.083	-0.744	0.457	0.597
TYW1	551.184	0.02	0.085	0.234	0.815	0.879
TYW1B	154.755	0.409	0.135	3.035	0.002	0.008
TYW3	1992.606	-0.369	0.059	-6.253	0.0	0.0
TYW5	636.779	0.224	0.08	2.799	0.005	0.016
U2AF1	1736.832	-0.154	0.056	-2.772	0.006	0.017
U2AF1L4	231.89	-0.259	0.113	-2.294	0.022	0.054
U2AF2	11971.397	-0.306	0.05	-6.099	0.0	0.0
U2SURP	9166.043	0.076	0.061	1.25	0.211	0.336
UACA	2169.451	0.175	0.066	2.634	0.008	0.024
UAP1	1355.166	0.186	0.066	2.836	0.005	0.014
UAP1L1	449.951	0.278	0.092	3.02	0.003	0.009
UBA1	13895.494	-0.11	0.06	-1.843	0.065	0.133
UBA2	6333.007	-0.174	0.046	-3.758	0.0	0.001
